,school,sos,school-format,season
135,Jackson State,-10.49,jackson-state,2018
136,Jacksonville State,-4.87,jacksonville-state,2018
137,Jacksonville,-6.12,jacksonville,2018
138,James Madison,-2.15,james-madison,2018
139,Kansas State NCAA,8.74,kansas-state,2018
140,Kansas NCAA,11.87,kansas,2018
141,Kennesaw State,-4.31,kennesaw-state,2018
142,Kent State,-1.75,kent-state,2018
143,Kentucky NCAA,10.73,kentucky,2018
144,La Salle,2.54,la-salle,2018
145,Lafayette,-6.04,lafayette,2018
146,Lamar,-7.22,lamar,2018
147,Lehigh,-5.66,lehigh,2018
148,Liberty,-6.23,liberty,2018
149,Lipscomb NCAA,-3.80,lipscomb,2018
150,Long Beach State,0.89,long-beach-state,2018
151,Long Island University NCAA,-8.19,long-island-university,2018
152,Longwood,-4.31,longwood,2018
153,Louisiana,-2.54,louisiana-lafayette,2018
154,Louisiana-Monroe,-3.31,louisiana-monroe,2018
155,Louisiana State,8.03,louisiana-state,2018
156,Louisiana Tech,-0.12,louisiana-tech,2018
157,Louisville,9.08,louisville,2018
158,Loyola (IL) NCAA,1.81,loyola-il,2018
159,Loyola Marymount,1.09,loyola-marymount,2018
160,Loyola (MD),-5.25,loyola-md,2018
161,Maine,-3.28,maine,2018
162,Manhattan,-4.15,manhattan,2018
163,Marist,-3.57,marist,2018
164,Marquette,9.70,marquette,2018
165,Marshall NCAA,0.44,marshall,2018
166,Maryland-Baltimore County NCAA,-3.84,maryland-baltimore-county,2018
167,Maryland-Eastern Shore,-7.57,maryland-eastern-shore,2018
168,Maryland,7.94,maryland,2018
169,Massachusetts-Lowell,-5.78,massachusetts-lowell,2018
170,Massachusetts,1.10,massachusetts,2018
171,McNeese State,-6.10,mcneese-state,2018
172,Memphis,2.16,memphis,2018
173,Mercer,-3.50,mercer,2018
174,Miami (FL) NCAA,6.96,miami-fl,2018
175,Miami (OH),-1.15,miami-oh,2018
176,Michigan State NCAA,7.10,michigan-state,2018
177,Michigan NCAA,9.41,michigan,2018
178,Middle Tennessee,2.83,middle-tennessee,2018
179,Milwaukee,-4.25,milwaukee,2018
180,Minnesota,6.91,minnesota,2018
181,Mississippi State,6.82,mississippi-state,2018
182,Mississippi Valley State,-8.13,mississippi-valley-state,2018
183,Mississippi,9.16,mississippi,2018
